evidence_id,utc,status,scope,relative_path,sha256,size_bytes,notes
R05-A4-E001,2026-09-12T12:42:55Z,PASS,backend compile,backend-compile.log,1D3236C4A5EC6B4BEC243D028723179C6CA138BB6CB4782F89985758DCF17E0A,1652,"Exit 0; changed Python source/tests; read-only source and tmpfs"
R05-A4-E002,2026-09-12T12:50:39Z,PASS,final focused backend,backend-focused-final.log,781EFE361C70A1B2AAE5AC3FC45E2D12678DCBA5B4F1EB77A9F5050EB060F603,1993,"78 passed; exact final backend implementation"
R05-A4-E003,2026-09-12T12:47:49Z,PASS,backend regression,backend-regression.log,D2623FAD8D7C94D3623C38EFEC755DC28B66DE0EE8AFCD300DB8892538871F8B,2390,"319 passed; before internal schema alias cleanup and added negative test"
R05-A4-E004,2026-09-12T12:50:30Z,PASS,final focused Flutter,flutter-focused-final2.log,B1551A49A89A9F1652CF64A77A3FBE302B978319E867F72DB3CE9B48CA5F20CA,1330,"12 passed; dialog adapter role and state matrix"
R05-A4-E005,2026-09-12T12:46:50Z,PASS,Flutter Documents Auth regression,flutter-regression.log,1FC31CA674B7E905B33027DC8BC3FFB6E3066A22228611A5E5629CA52ECFE252,1398,"21 passed"
R05-A4-E006,2026-09-12T12:46:21Z,PASS,Flutter static analysis,flutter-analyze-final.log,BD614C778D8711289E761F8CA716A408CFA17D5D89A124603FB816C90542DE69,1224,"No issues; --no-pub"
R05-A4-E007,2026-09-12T12:53:00Z,NOT_VERIFIED,redundant final backend regression,backend-regression-source-commit.log,A0F590FF43C3EDB343DA9F231D54D985768DF5CF2D21B1CB7B0F816030FAAE26,2321,"No pytest output; Docker CLI/daemon stopped responding; client interrupted"
R05-A4-E008,2026-09-12T12:43:13Z,FAIL_HARNESS,backend first recipe,backend-focused.log,A3063486AD28A36EBEA2B019F4097532391D90AB74AF8933CFCD53458158CE67,1662,"Collection stopped for missing synthetic Settings; no product test ran"
R05-A4-E009,2026-09-12T12:38:06Z,FAIL_HARNESS,Flutter first widget run,flutter-focused.log,E04DB1319C272AB3EC541A1E37A820D7F72343C139B86E0FF3B39BDE3B08DFC8,1267,"pumpAndSettle harness timeout; no product assertion accepted"
R05-A4-E010,2026-09-12T12:39:21Z,FAIL_HARNESS,Flutter second widget run,flutter-focused-after1.log,0254E87BFF0955FA0878849A8296C95737A5DD2547CC64D7AE5767E2EE53E215,1281,"Exposed missing real-time image decode wait in test harness"
R05-A4-E011,2026-09-12T12:42:16Z,PASS,initial focused Flutter,flutter-focused-pass.log,000D1FAE2502F212D2D0913ABF8BEB2FBB19C0B738DB7FC726CC154A6E02C9EA,1277,"6 passed before added role/redacted/uncertain cases"
R05-A4-E012,2026-09-12T12:43:54Z,PASS,initial focused backend,backend-focused-pass.log,DD85E19E03F62DD73CE32DDDA85E67D6E2BBB7D77A8C743D57C33C62EA9395B2,1986,"78 passed before final alias-only cleanup"
R05-A4-E013,2026-09-12T12:46:03Z,PASS,expanded focused Flutter,flutter-focused-final.log,3F44FE6ABBDDAB7B2A127C83227BC0C570E4E36F37B6B406EC139FAC745D1ACC,1327,"12 passed before final uncertain-state fixture correction"
