path,rescue_origin,decision,candidate_blob,relationship,evidence
backend/app/services/local_model_resource_coordinator.py,1633909054355e2a9ae0364753362418215ae1fa,ADOPT_SOURCE,882091f77f6a35cd16ea3a0cfef66850dd0629a9,EXACT_RESCUE,unit resource coordinator regression
backend/test/test_document_intelligence_resource_wait.py,1633909054355e2a9ae0364753362418215ae1fa,ADOPT_SOURCE,94e50feb18a70321fb47b575d1eda501a89601c9,EXACT_RESCUE,unit resource wait regression
backend/test/test_local_model_resource_coordinator.py,1633909054355e2a9ae0364753362418215ae1fa,ADOPT_SOURCE,ea86114141232303b1dd1daa8cb57ed21ccc2068,EXACT_RESCUE,unit resource coordinator regression
backend/app/api/documents/router.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,afd7496f1a66b7897b2220c645cd58052f48a0cb,EXACT_RESCUE,document and Visual API regression
backend/app/main.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,c31b31a62493109be07295d2846a5ed91fa5ec22,ADDITIVE_R04_A1_PLUS_RESCUE,lifespan AST guard and version identity regression
backend/app/services/document_preparation_dispatcher.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,d58fc4bf670412e810ab834868d31a232195ed40,EXACT_RESCUE,DOC-03 and preparation regressions
backend/app/services/document_preparation_service.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,6a5efc4f9a4af4a2827a2756e43c6bf5ca1abd93,EXACT_RESCUE,document preparation regressions
backend/app/services/document_service.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,77accc5e9e463616832b8614ce64cd72ed41f46b,EXACT_RESCUE,document and ingestion regressions
backend/app/services/visual_v2_service.py,506e68cbc89863f1d0983b7d885ada7a02a19c33;d1fe9c86188a09a6d1b8c52c112f244af8cc3e21;5cd8f86e63e1ab829692ca2601096fd0c0d9d53a,ADOPT_SOURCE,2740e0e72d2bd2107bab1aeaa54828a2b7ace388,EXACT_FINAL_RESCUE,Visual service and reuse coverage regression
backend/test/test_chunk15_vision_implementation.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,b45189d66c8e653abdf2e73e327245f477c42c52,EXACT_RESCUE,document and Vision regression
backend/test/test_document_ingestion_vision_containment.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,ad08a7e021e789b5cd52950440492ac99cd3c8f1,EXACT_RESCUE,ingestion containment regression
backend/test/test_document_preparation_recovery_fencing.py,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,15df78f2c719e58a881af839fd0059ec87e9f302,ADDITIVE_R02_DOC03_PLUS_RESCUE,DOC-03 92-test isolated suite
backend/test/test_visual_v2_service.py,506e68cbc89863f1d0983b7d885ada7a02a19c33;d1fe9c86188a09a6d1b8c52c112f244af8cc3e21;5cd8f86e63e1ab829692ca2601096fd0c0d9d53a,ADOPT_SOURCE,92dbc794c4e59b0aec803fbda6d4f1fdfbea0bac,FINAL_RESCUE_PLUS_ISOLATION_AST_TESTS,32-test Visual regression
frontend/lib/features/documents/data/documents_api.dart,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,682a05e940b31c42c38ab1080631a7d512a50e74,EXACT_RESCUE,Flutter document contract regression
frontend/lib/features/documents/presentation/documents_page.dart,506e68cbc89863f1d0983b7d885ada7a02a19c33,ADOPT_SOURCE,94fb81b0f52577e9080422affaf34f5107c60958,EXACT_RESCUE,Flutter document page regression
backend/app/services/assistant_run_dispatcher.py,2456e6b889d90e37647118199b2400b7cf80ef0f;d1fe9c86188a09a6d1b8c52c112f244af8cc3e21;5cd8f86e63e1ab829692ca2601096fd0c0d9d53a,ADOPT_SOURCE,68b959ff5a13226a689dea86fbc781ce2d9709d3,EXACT_FINAL_RESCUE,Assistant Visual ordering and current-request coverage regressions
backend/app/services/assistant_run_material_service.py,2456e6b889d90e37647118199b2400b7cf80ef0f,ADOPT_SOURCE,a8e5a30781a1c7ffead92cde0396177dd50c5647,EXACT_RESCUE,Assistant contract regression
backend/app/services/assistant_run_planner.py,2456e6b889d90e37647118199b2400b7cf80ef0f,ADOPT_SOURCE,8d84ebe0166fd5edd288f56760a2a4b3a3520a7f,EXACT_RESCUE,Assistant pipeline regression
backend/app/services/assistant_run_service.py,2456e6b889d90e37647118199b2400b7cf80ef0f;d1fe9c86188a09a6d1b8c52c112f244af8cc3e21;5cd8f86e63e1ab829692ca2601096fd0c0d9d53a,ADOPT_SOURCE,6c29ad07455499b51337d6d5a07bd210042d3a86,EXACT_FINAL_RESCUE,two-session deleted-chat publication regression
backend/app/services/unified_assistant_service.py,2456e6b889d90e37647118199b2400b7cf80ef0f,ADOPT_SOURCE,5f488bebeaf9f80f3c24869fb35362278933ad26,EXACT_RESCUE,unified assistant prompt and contract regression
backend/test/test_assistant_visual_branch.py,2456e6b889d90e37647118199b2400b7cf80ef0f;d1fe9c86188a09a6d1b8c52c112f244af8cc3e21;5cd8f86e63e1ab829692ca2601096fd0c0d9d53a,ADOPT_SOURCE,1652641c719bc69e9ba0e29d9e8008a0b7fadd46,EXACT_FINAL_RESCUE,Assistant Visual regression
backend/test/test_unified_assistant_implementation.py,2456e6b889d90e37647118199b2400b7cf80ef0f,ADOPT_SOURCE,7e6b03bb483a5bf154c7295883c8279c0f0a0d1c,EXACT_RESCUE,unified assistant implementation regression
backend/test/test_assistant_chat_history.py,d1fe9c86188a09a6d1b8c52c112f244af8cc3e21;5cd8f86e63e1ab829692ca2601096fd0c0d9d53a,ADOPT_SOURCE,cf3c5951f414ce48a224be434ad7cd78f7b2547f,EXACT_FINAL_RESCUE,isolated two-session chat publication integration
